,Unnamed: 0,rec_name,focal_shift,V_DC,E_total,emissivity_front,emissivity_back,absorptivity_front,sigma_SC,Amax_fv
0,0,HYPC_e92_ref350_t72_Rec-000585,-3,6,1302.6610684791715,0.91,0.91,0.91,0.0078,52274.279907965116
1,1,HYPC_e92_ref350_t72_Rec-000587,-3,5,1229.6228302290522,0.91,0.91,0.91,0.0078,49343.34000144835
2,2,HYPC_e92_ref350_t72_Rec-000588,-3,4,1120.8176752818244,0.91,0.91,0.91,0.0078,44977.11515388982
3,3,HYPC_e92_ref350_t72_Rec-000589,-3,3,985.0929980549927,0.91,0.91,0.91,0.0078,39530.64105602123
4,4,HYPC_e92_ref350_t72_Rec-000590,-3,2,874.9508479943217,0.91,0.91,0.91,0.0078,35110.76414309677
5,5,HYPC_e92_ref350_t72_Rec-000591,-3,1,744.1387724518312,0.91,0.91,0.91,0.0078,29861.427060939724
6,6,HYPC_e92_ref350_t72_Rec-000592,-3,0,645.8955685666763,0.91,0.91,0.91,0.0078,25919.041076422993
7,7,HYPC_e92_ref350_t72_Rec-000593,0,0,604.9693792501757,0.91,0.91,0.91,0.0065,26453.607621495168
8,8,HYPC_e92_ref350_t72_Rec-000594,0,1,665.6195455022821,0.91,0.91,0.91,0.0065,29105.66862696333
9,9,HYPC_e92_ref350_t72_Rec-000595,0,2,778.3339185911311,0.91,0.91,0.91,0.0065,34034.35080702817
10,10,HYPC_e92_ref350_t72_Rec-000596,0,3,888.8603379253293,0.91,0.91,0.91,0.0065,38867.35992973719
11,11,HYPC_e92_ref350_t72_Rec-000597,0,4,1041.322315782543,0.91,0.91,0.91,0.0065,45534.09295419323
12,12,HYPC_e92_ref350_t72_Rec-000598,0,5,1186.8041226185069,0.91,0.91,0.91,0.0065,51895.602753044135
13,13,HYPC_e92_ref350_t72_Rec-000599,0,6,1303.4068746887715,0.91,0.91,0.91,0.0065,56994.312797966406
14,14,HYPC_e92_ref350_t72_Rec-000600,3,6,1231.8253578508145,0.91,0.91,0.91,0.0075,50317.104298534825
15,15,HYPC_e92_ref350_t72_Rec-000601,3,5,1151.9979497889487,0.91,0.91,0.91,0.0075,47056.346601243575
16,16,HYPC_e92_ref350_t72_Rec-000602,3,4,1031.763332538156,0.91,0.91,0.91,0.0075,42145.05155609379
17,17,HYPC_e92_ref350_t72_Rec-000603,3,3,901.8619117982007,0.91,0.91,0.91,0.0075,36838.89082945954
18,18,HYPC_e92_ref350_t72_Rec-000604,3,2,792.2799361874041,0.91,0.91,0.91,0.0075,32362.730584091598
19,19,HYPC_e92_ref350_t72_Rec-000605,3,1,671.7738494499541,0.91,0.91,0.91,0.0075,27440.346663082153
20,20,HYPC_e92_ref350_t72_Rec-000606,3,0,579.1553743050354,0.91,0.91,0.91,0.0075,23657.10462788893
21,21,HYPC_e92_ref350_t72_Rec-000607,6,0,542.4492876257344,0.91,0.91,0.91,0.0085,20968.43552311833
22,22,HYPC_e92_ref350_t72_Rec-000608,6,1,615.2889089822653,0.91,0.91,0.91,0.0085,23784.058916464106
23,23,HYPC_e92_ref350_t72_Rec-000609,6,2,698.6183078699512,0.91,0.91,0.91,0.0085,27005.16578786293
24,24,HYPC_e92_ref350_t72_Rec-000610,6,3,796.173768713333,0.91,0.91,0.91,0.0085,30776.18261337291
25,25,HYPC_e92_ref350_t72_Rec-000611,6,4,925.8077263068518,0.91,0.91,0.91,0.0085,35787.19717899956
26,26,HYPC_e92_ref350_t72_Rec-000612,6,5,1053.960161730883,0.91,0.91,0.91,0.0085,40740.94334591019
27,27,HYPC_e92_ref350_t72_Rec-000613,6,6,1169.7847802006195,0.91,0.91,0.91,0.0085,45218.156423288434
28,28,HYPC_e92_ref350_t72_Rec-000614,9,6,1106.904023762418,0.91,0.91,0.91,0.0096,40731.109573460904
29,29,HYPC_e92_ref350_t72_Rec-000615,9,5,1031.3874666712861,0.91,0.91,0.91,0.0096,37952.30211097253
30,30,HYPC_e92_ref350_t72_Rec-000616,9,4,914.441287534651,0.91,0.91,0.91,0.0096,33648.99528910279
31,31,HYPC_e92_ref350_t72_Rec-000617,9,3,797.4866015945549,0.91,0.91,0.91,0.0096,29345.375439602438
32,32,HYPC_e92_ref350_t72_Rec-000618,9,2,705.0815524988902,0.91,0.91,0.91,0.0096,25945.116610419256
33,33,HYPC_e92_ref350_t72_Rec-000619,9,1,595.7975960711758,0.91,0.91,0.91,0.0096,21923.759104871002
34,34,HYPC_e92_ref350_t72_Rec-000620,9,0,523.5970965542679,0.91,0.91,0.91,0.0096,19266.97369805149
35,35,HYPC_e92_ref350_t72_Rec-000622,12,0,487.05701963374804,0.91,0.91,0.91,0.011,17058.412252172522
36,36,HYPC_e92_ref350_t72_Rec-000623,12,1,520.4108107560331,0.91,0.91,0.91,0.011,18226.576750786327
37,37,HYPC_e92_ref350_t72_Rec-000624,12,2,610.1298812254664,0.91,0.91,0.91,0.011,21368.84722273266
