Rec,R_pixels,VDC,focal_shift,T_C,Rx,Ry,Material
667,78.10249676,4,15,674.453063,272,252,copper
667,97.0051545,4,15,669.8105074,253,249,copper
667,120.0166655,4,15,666.2140407,230,246,copper
667,140.0571312,4,15,661.8213444,210,244,copper
667,158.202402,4,15,659.4275037,192,240,copper
667,174.0718243,4,15,657.6822519,176,253,copper
669,78.10249676,4,12,723.559252,272,252,copper
669,97.0051545,4,12,717.481424,253,249,copper
669,120.0166655,4,12,713.042784,230,246,copper
669,140.0571312,4,12,708.06018,210,244,copper
669,158.202402,4,12,704.487108,192,240,copper
669,174.0718243,4,12,702.56588,176,253,copper
671,78.10249676,4,9,764.8586775,272,252,copper
671,97.0051545,4,9,756.92913,253,249,copper
671,120.0166655,4,9,751.61447,230,246,copper
671,140.0571312,4,9,745.6865975,210,244,copper
671,158.202402,4,9,741.47815,192,240,copper
671,174.0718243,4,9,738.7935925,176,253,copper
673,78.10249676,4,6,792.0126067,272,252,copper
673,97.0051545,4,6,783.12008,253,249,copper
673,120.0166655,4,6,777.2842333,230,246,copper
673,140.0571312,4,6,770.88282,210,244,copper
673,158.202402,4,6,766.2142133,192,240,copper
673,174.0718243,4,6,763.1904667,176,253,copper
675,78.10249676,4,3,809.9192535,272,252,copper
675,97.0051545,4,3,800.8381767,253,249,copper
675,120.0166655,4,3,794.9207023,230,246,copper
675,140.0571312,4,3,788.421286,210,244,copper
675,158.202402,4,3,783.4204953,192,240,copper
675,174.0718243,4,3,780.4752116,176,253,copper
677,78.10249676,4,0,818.0362112,272,252,copper
677,97.0051545,4,0,808.9592224,253,249,copper
677,120.0166655,4,0,802.9368822,230,246,copper
677,140.0571312,4,0,796.8196542,210,244,copper
677,158.202402,4,0,791.7090467,192,240,copper
677,174.0718243,4,0,788.3337364,176,253,copper
679,78.10249676,4,-3,818.6859775,272,252,copper
679,97.0051545,4,-3,810.2040963,253,249,copper
679,120.0166655,4,-3,804.3217675,230,246,copper
679,140.0571312,4,-3,798.3412075,210,244,copper
679,158.202402,4,-3,793.4543175,192,240,copper
679,174.0718243,4,-3,790.3717238,176,253,copper
688,78.05767099,2,15,674.453063,272,251,copper
688,97.0051545,2,15,669.8105074,253,249,copper
688,120.0166655,2,15,666.2140407,230,246,copper
688,140.0892573,2,15,661.8213444,210,243,copper
688,157.2036895,2,15,659.4275037,193,240,copper
688,173.0462366,2,15,657.6822519,177,252,copper
687,78.05767099,2,12,659.9713684,272,251,copper
687,97.0051545,2,12,655.2880895,253,249,copper
687,120.0166655,2,12,652.1408,230,246,copper
687,140.0892573,2,12,648.8287526,210,243,copper
687,157.2036895,2,12,645.4828421,193,240,copper
687,173.0462366,2,12,645.1180368,177,252,copper
686,78.05767099,2,9,690.623739,272,251,copper
686,97.0051545,2,9,684.8185683,253,249,copper
686,120.0166655,2,9,681.1678146,230,246,copper
686,140.0892573,2,9,676.8780439,210,243,copper
686,157.2036895,2,9,672.8526634,193,240,copper
686,173.0462366,2,9,672.2601512,177,252,copper
685,78.05767099,2,6,713.9718231,272,251,copper
685,97.0051545,2,6,707.5134558,253,249,copper
685,120.0166655,2,6,703.4693423,230,246,copper
685,140.0892573,2,6,698.7719404,210,243,copper
685,157.2036895,2,6,694.5633788,193,240,copper
685,173.0462366,2,6,693.7513981,177,252,copper
683,78.05767099,2,3,728.3371923,272,251,copper
683,97.0051545,2,3,721.6002577,253,249,copper
683,120.0166655,2,3,717.1856865,230,246,copper
683,140.0892573,2,3,712.4810115,210,243,copper
683,157.2036895,2,3,708.2900769,193,240,copper
683,173.0462366,2,3,706.9482827,177,252,copper
682,78.05767099,2,0,735.0912227,272,251,copper
682,97.0051545,2,0,728.1613,253,249,copper
682,120.0166655,2,0,724.0825864,230,246,copper
682,140.0892573,2,0,719.0943523,210,243,copper
682,157.2036895,2,0,714.9859295,193,240,copper
682,173.0462366,2,0,713.7829068,177,252,copper
681,78.05767099,2,-3,739.2702922,272,251,copper
681,97.0051545,2,-3,732.5810065,253,249,copper
681,120.0166655,2,-3,728.3140519,230,246,copper
681,140.0892573,2,-3,723.6437169,210,243,copper
681,157.2036895,2,-3,719.4742416,193,240,copper
681,173.0462366,2,-3,718.1250896,177,252,copper
Fake,78.05767099,3,15,674.453063,272,251,copper
Fake,97.0051545,3,15,669.8105074,253,249,copper
Fake,120.0166655,3,15,666.2140407,230,246,copper
Fake,140.0892573,3,15,661.8213444,210,243,copper
Fake,157.2036895,3,15,659.4275037,193,240,copper
Fake,173.0462366,3,15,657.6822519,177,252,copper
Fake,78.05767099,3,12,691.7653102,272,251,copper
Fake,97.0051545,3,12,686.3847568,253,249,copper
Fake,120.0166655,3,12,682.591792,230,246,copper
Fake,140.0892573,3,12,678.4444663,210,243,copper
Fake,157.2036895,3,12,674.9849751,193,240,copper
Fake,173.0462366,3,12,673.8419584,177,252,copper
Fake,78.05767099,3,9,727.7412083,272,251,copper
Fake,97.0051545,3,9,720.8738492,253,249,copper
Fake,120.0166655,3,9,716.3911423,230,246,copper
Fake,140.0892573,3,9,711.2823207,210,243,copper
Fake,157.2036895,3,9,707.1654067,193,240,copper
Fake,173.0462366,3,9,705.5268719,177,252,copper
Fake,78.05767099,3,6,752.9922149,272,251,copper
Fake,97.0051545,3,6,745.3167679,253,249,copper
Fake,120.0166655,3,6,740.3767878,230,246,copper
Fake,140.0892573,3,6,734.8273802,210,243,copper
Fake,157.2036895,3,6,730.3887961,193,240,copper
Fake,173.0462366,3,6,728.4709324,177,252,copper
Fake,78.05767099,3,3,769.1282229,272,251,copper
Fake,97.0051545,3,3,761.2192172,253,249,copper
Fake,120.0166655,3,3,756.0531944,230,246,copper
Fake,140.0892573,3,3,750.4511488,210,243,copper
Fake,157.2036895,3,3,745.8552861,193,240,copper
Fake,173.0462366,3,3,743.7117472,177,252,copper
Fake,78.05767099,3,0,776.563717,272,251,copper
Fake,97.0051545,3,0,768.5602612,253,249,copper
Fake,120.0166655,3,0,763.5097343,230,246,copper
Fake,140.0892573,3,0,757.9570033,210,243,copper
Fake,157.2036895,3,0,753.3474881,193,240,copper
Fake,173.0462366,3,0,751.0583216,177,252,copper
Fake,78.05767099,3,-3,778.9781349,272,251,copper
Fake,97.0051545,3,-3,771.3925514,253,249,copper
Fake,120.0166655,3,-3,766.3179097,230,246,copper
Fake,140.0892573,3,-3,760.9924622,210,243,copper
Fake,157.2036895,3,-3,756.4642796,193,240,copper
Fake,173.0462366,3,-3,754.2484067,177,252,copper
695,51.2445119,4,15,651.7832467,259,302,graphite_poco
695,70.0285656,4,15,645.2966333,246,310,graphite_poco
695,93.00537619,4,15,639.55657,233,321,graphite_poco
695,113.039816,4,15,636.8128333,222,330,graphite_poco
695,131.1868896,4,15,632.07046,209,343,graphite_poco
695,147.122398,4,15,629.1596967,192,355,graphite_poco
695,189.7603752,4,15,627.5173867,176,367,graphite_poco
694,51.2445119,4,12,684.5829288,272,252,graphite_poco
694,70.0285656,4,12,676.4144153,253,249,graphite_poco
694,93.00537619,4,12,668.9841322,230,246,graphite_poco
694,113.039816,4,12,665.3232034,210,244,graphite_poco
694,131.1868896,4,12,659.5961847,192,240,graphite_poco
694,147.122398,4,12,655.4885051,176,253,graphite_poco
694,189.7603752,4,12,653.0230797,176,367,graphite_poco
693,51.2445119,4,9,714.5103,272,252,graphite_poco
693,70.0285656,4,9,704.5265233,253,249,graphite_poco
693,93.00537619,4,9,695.8535465,230,246,graphite_poco
693,113.039816,4,9,690.7608791,210,244,graphite_poco
693,131.1868896,4,9,684.1032279,192,240,graphite_poco
693,147.122398,4,9,679.2645558,176,253,graphite_poco
693,189.7603752,4,9,676.1681721,176,367,graphite_poco
692,51.2445119,4,6,734.6154318,272,252,graphite_poco
692,70.0285656,4,6,723.3982273,253,249,graphite_poco
692,93.00537619,4,6,713.633525,230,246,graphite_poco
692,113.039816,4,6,707.7392659,210,244,graphite_poco
692,131.1868896,4,6,700.2501273,192,240,graphite_poco
692,147.122398,4,6,694.8477705,176,253,graphite_poco
692,189.7603752,4,6,691.1082909,176,367,graphite_poco
691,51.2445119,4,3,744.0603822,272,252,graphite_poco
691,70.0285656,4,3,732.2431466,253,249,graphite_poco
691,93.00537619,4,3,721.5797247,230,246,graphite_poco
691,113.039816,4,3,715.4308877,210,244,graphite_poco
691,131.1868896,4,3,707.5834137,192,240,graphite_poco
691,147.122398,4,3,701.7377274,176,253,graphite_poco
691,189.7603752,4,3,697.8121986,176,367,graphite_poco
690,51.2445119,4,0,747.4122865,272,252,graphite_poco
690,70.0285656,4,0,735.1828135,253,249,graphite_poco
690,93.00537619,4,0,724.5537189,230,246,graphite_poco
690,113.039816,4,0,718.1344108,210,244,graphite_poco
690,131.1868896,4,0,710.0603135,192,240,graphite_poco
690,147.122398,4,0,703.9099541,176,253,graphite_poco
690,189.7603752,4,0,699.7393514,176,367,graphite_poco
